PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
65,D,1,0,24.0442583732,0,0,27.7208
66,S,3,0,24.0442583732,1,1,15.2458
67,S,2,1,29,0,0,10.5
68,D,3,0,19,0,0,8.1583
69,S,3,1,17,4,2,7.925
70,D,3,0,26,2,0,8.6625
71,D,2,0,32,0,0,10.5
72,D,3,1,16,5,2,46.9
73,D,2,0,21,0,0,73.5
74,D,3,0,26,1,0,14.4542
75,S,3,0,32,0,0,56.4958
76,D,3,0,25,0,0,7.65
77,D,3,0,24.0442583732,0,0,7.8958
78,D,3,0,24.0442583732,0,0,8.05
79,S,2,0,0.83,0,2,29
80,S,3,1,30,0,0,12.475
81,D,3,0,22,0,0,9
82,S,3,0,29,0,0,9.5
83,S,3,1,24.0442583732,0,0,7.7875
84,D,1,0,28,0,0,47.1
85,S,2,1,17,0,0,10.5
86,S,3,1,33,3,0,15.85
87,D,3,0,16,1,3,34.375
88,D,3,0,24.0442583732,0,0,8.05
89,S,1,1,23,3,2,263
90,D,3,0,24,0,0,8.05
91,D,3,0,29,0,0,8.05
92,D,3,0,20,0,0,7.8542
93,D,1,0,46,1,0,61.175
94,D,3,0,26,1,2,20.575
95,D,3,0,59,0,0,7.25
96,D,3,0,24.0442583732,0,0,8.05
97,D,1,0,71,0,0,34.6542
98,S,1,0,23,0,1,63.3583
99,S,2,1,34,0,1,23
100,D,2,0,34,1,0,26
101,D,3,1,28,0,0,7.8958
102,D,3,0,24.0442583732,0,0,7.8958
103,D,1,0,21,0,1,77.2875
104,D,3,0,33,0,0,8.6542
105,D,3,0,37,2,0,7.925
106,D,3,0,28,0,0,7.8958
107,S,3,1,21,0,0,7.65
108,S,3,0,24.0442583732,0,0,7.775
109,D,3,0,38,0,0,7.8958
110,S,3,1,24.0442583732,1,0,24.15
111,D,1,0,47,0,0,52
112,D,3,1,14.5,1,0,14.4542
113,D,3,0,22,0,0,8.05
114,D,3,1,20,1,0,9.825
115,D,3,1,17,0,0,14.4583
116,D,3,0,21,0,0,7.925
117,D,3,0,70.5,0,0,7.75
118,D,2,0,29,1,0,21
119,D,1,0,24,0,1,247.5208
120,D,3,1,2,4,2,31.275
121,D,2,0,21,2,0,73.5
122,D,3,0,24.0442583732,0,0,8.05
123,D,2,0,32.5,1,0,30.0708
124,S,2,1,32.5,0,0,13
125,D,1,0,54,0,1,77.2875
126,S,3,0,12,1,0,11.2417
127,D,3,0,24.0442583732,0,0,7.75
128,S,3,0,24,0,0,7.1417
129,S,3,1,24.0442583732,1,1,22.3583
130,D,3,0,45,0,0,6.975
131,D,3,0,33,0,0,7.8958
132,D,3,0,20,0,0,7.05
133,D,3,1,47,1,0,14.5
134,S,2,1,29,1,0,26
135,D,2,0,25,0,0,13
136,D,2,0,23,0,0,15.0458
137,S,1,1,19,0,2,26.2833
138,D,1,0,37,1,0,53.1
139,D,3,0,16,0,0,9.2167
140,D,1,0,24,0,0,79.2
141,D,3,1,24.0442583732,0,2,15.2458
142,S,3,1,22,0,0,7.75
143,S,3,1,24,1,0,15.85
144,D,3,0,19,0,0,6.75
145,D,2,0,18,0,0,11.5
146,D,2,0,19,1,1,36.75
147,S,3,0,27,0,0,7.7958
148,D,3,1,9,2,2,34.375
149,D,2,0,36.5,0,2,26
150,D,2,0,42,0,0,13
151,D,2,0,51,0,0,12.525
152,S,1,1,22,1,0,66.6
153,D,3,0,55.5,0,0,8.05
154,D,3,0,40.5,0,2,14.5
155,D,3,0,24.0442583732,0,0,7.3125
156,D,1,0,51,0,1,61.3792
157,S,3,1,16,0,0,7.7333
158,D,3,0,30,0,0,8.05
159,D,3,0,24.0442583732,0,0,8.6625
160,D,3,0,24.0442583732,8,2,69.55
161,D,3,0,44,0,1,16.1
162,S,2,1,40,0,0,15.75
163,D,3,0,26,0,0,7.775
164,D,3,0,17,0,0,8.6625
165,D,3,0,1,4,1,39.6875
166,S,3,0,9,0,2,20.525
167,S,1,1,24.0442583732,0,1,55
168,D,3,1,45,1,4,27.9
169,D,1,0,24.0442583732,0,0,25.925
170,D,3,0,28,0,0,56.4958
171,D,1,0,61,0,0,33.5
172,D,3,0,4,4,1,29.125
173,S,3,1,1,1,1,11.1333
174,D,3,0,21,0,0,7.925
175,D,1,0,56,0,0,30.6958
176,D,3,0,18,1,1,7.8542
177,D,3,0,24.0442583732,3,1,25.4667
178,D,1,1,50,0,0,28.7125
179,D,2,0,30,0,0,13
180,D,3,0,36,0,0,0
181,D,3,1,24.0442583732,8,2,69.55
182,D,2,0,24.0442583732,0,0,15.05
183,D,3,0,9,4,2,31.3875
184,S,2,0,1,2,1,39
185,S,3,1,4,0,2,22.025
186,D,1,0,24.0442583732,0,0,50
187,S,3,1,24.0442583732,1,0,15.5
188,S,1,0,45,0,0,26.55
189,D,3,0,40,1,1,15.5
190,D,3,0,36,0,0,7.8958
191,S,2,1,32,0,0,13
192,D,2,0,19,0,0,13
193,S,3,1,19,1,0,7.8542
194,S,2,0,3,1,1,26
195,S,1,1,44,0,0,27.7208
196,S,1,1,58,0,0,146.5208
197,D,3,0,24.0442583732,0,0,7.75
198,D,3,0,42,0,1,8.4042
199,S,3,1,24.0442583732,0,0,7.75
200,D,2,1,24,0,0,13
201,D,3,0,28,0,0,9.5
202,D,3,0,24.0442583732,8,2,69.55
203,D,3,0,34,0,0,6.4958
204,D,3,0,45.5,0,0,7.225
205,S,3,0,18,0,0,8.05
206,D,3,1,2,0,1,10.4625
207,D,3,0,32,1,0,15.85
208,S,3,0,26,0,0,18.7875
209,S,3,1,16,0,0,7.75
210,S,1,0,40,0,0,31
211,D,3,0,24,0,0,7.05
212,S,2,1,35,0,0,21
213,D,3,0,22,0,0,7.25
214,D,2,0,30,0,0,13
215,D,3,0,24.0442583732,1,0,7.75
216,S,1,1,31,1,0,113.275
217,S,3,1,27,0,0,7.925
218,D,2,0,42,1,0,27
219,S,1,1,32,0,0,76.2917
220,D,2,0,30,0,0,10.5
221,S,3,0,16,0,0,8.05
222,D,2,0,27,0,0,13
223,D,3,0,51,0,0,8.05
224,D,3,0,24.0442583732,0,0,7.8958
225,S,1,0,38,1,0,90
226,D,3,0,22,0,0,9.35
227,S,2,0,19,0,0,10.5
228,D,3,0,20.5,0,0,7.25
229,D,2,0,18,0,0,13
230,D,3,1,24.0442583732,3,1,25.4667
231,S,1,1,35,1,0,83.475
232,D,3,0,29,0,0,7.775
233,D,2,0,59,0,0,13.5
234,S,3,1,5,4,2,31.3875
235,D,2,0,24,0,0,10.5
236,D,3,1,24.0442583732,0,0,7.55
237,D,2,0,44,1,0,26
238,S,2,1,8,0,2,26.25
239,D,2,0,19,0,0,10.5
240,D,2,0,33,0,0,12.275
241,D,3,1,24.0442583732,1,0,14.4542
242,S,3,1,24.0442583732,1,0,15.5
243,D,2,0,29,0,0,10.5
244,D,3,0,22,0,0,7.125
245,D,3,0,30,0,0,7.225
246,D,1,0,44,2,0,90
247,D,3,1,25,0,0,7.775
248,S,2,1,24,0,2,14.5
249,S,1,0,37,1,1,52.5542
250,D,2,0,54,1,0,26
251,D,3,0,24.0442583732,0,0,7.25
252,D,3,1,29,1,1,10.4625
253,D,1,0,62,0,0,26.55
254,D,3,0,30,1,0,16.1
255,D,3,1,41,0,2,20.2125
256,S,3,1,29,0,2,15.2458
257,S,1,1,24.0442583732,0,0,79.2
258,S,1,1,30,0,0,86.5
259,S,1,1,35,0,0,512.3292
260,S,2,1,50,0,1,26
261,D,3,0,24.0442583732,0,0,7.75
262,S,3,0,3,4,2,31.3875
263,D,1,0,52,1,1,79.65
264,D,1,0,40,0,0,0
265,D,3,1,24.0442583732,0,0,7.75
266,D,2,0,36,0,0,10.5
267,D,3,0,16,4,1,39.6875
268,S,3,0,25,1,0,7.775
269,S,1,1,58,0,1,153.4625
270,S,1,1,35,0,0,135.6333
271,D,1,0,24.0442583732,0,0,31
272,S,3,0,25,0,0,0
273,S,2,1,41,0,1,19.5
274,D,1,0,37,0,1,29.7
275,S,3,1,24.0442583732,0,0,7.75
276,S,1,1,63,1,0,77.9583
277,D,3,1,45,0,0,7.75
278,D,2,0,24.0442583732,0,0,0
279,D,3,0,7,4,1,29.125
280,S,3,1,35,1,1,20.25
281,D,3,0,65,0,0,7.75
282,D,3,0,28,0,0,7.8542
283,D,3,0,16,0,0,9.5
284,S,3,0,19,0,0,8.05
285,D,1,0,24.0442583732,0,0,26
286,D,3,0,33,0,0,8.6625
287,S,3,0,30,0,0,9.5
288,D,3,0,22,0,0,7.8958
289,S,2,0,42,0,0,13
290,S,3,1,22,0,0,7.75
291,S,1,1,26,0,0,78.85
292,S,1,1,19,1,0,91.0792
293,D,2,0,36,0,0,12.875
294,D,3,1,24,0,0,8.85
295,D,3,0,24,0,0,7.8958
296,D,1,0,24.0442583732,0,0,27.7208
297,D,3,0,23.5,0,0,7.2292
298,D,1,1,2,1,2,151.55
299,S,1,0,24.0442583732,0,0,30.5
300,S,1,1,50,0,1,247.5208
301,S,3,1,24.0442583732,0,0,7.75
302,S,3,0,24.0442583732,2,0,23.25
303,D,3,0,19,0,0,0
304,S,2,1,24.0442583732,0,0,12.35
305,D,3,0,24.0442583732,0,0,8.05
306,S,1,0,0.92,1,2,151.55
307,S,1,1,24.0442583732,0,0,110.8833
308,S,1,1,17,1,0,108.9
309,D,2,0,30,1,0,24
310,S,1,1,30,0,0,56.9292
311,S,1,1,24,0,0,83.1583
312,S,1,1,18,2,2,262.375
313,D,2,1,26,1,1,26
314,D,3,0,28,0,0,7.8958
315,D,2,0,43,1,1,26.25
316,S,3,1,26,0,0,7.8542
317,S,2,1,24,1,0,26
318,D,2,0,54,0,0,14
319,S,1,1,31,0,2,164.8667
320,S,1,1,40,1,1,134.5
321,D,3,0,22,0,0,7.25
322,D,3,0,27,0,0,7.8958
323,S,2,1,30,0,0,12.35
324,S,2,1,22,1,1,29
325,D,3,0,24.0442583732,8,2,69.55
326,S,1,1,36,0,0,135.6333
327,D,3,0,61,0,0,6.2375
328,S,2,1,36,0,0,13
329,S,3,1,31,1,1,20.525
330,S,1,1,16,0,1,57.9792
331,S,3,1,24.0442583732,2,0,23.25
332,D,1,0,45.5,0,0,28.5
333,D,1,0,38,0,1,153.4625
334,D,3,0,16,2,0,18
335,S,1,1,24.0442583732,1,0,133.65
336,D,3,0,24.0442583732,0,0,7.8958
337,D,1,0,29,1,0,66.6
338,S,1,1,41,0,0,134.5
339,S,3,0,45,0,0,8.05
340,D,1,0,45,0,0,35.5
341,S,2,0,2,1,1,26
342,S,1,1,24,3,2,263
343,D,2,0,28,0,0,13
344,D,2,0,25,0,0,13
345,D,2,0,36,0,0,13
346,S,2,1,24,0,0,13
347,S,2,1,40,0,0,13
348,S,3,1,24.0442583732,1,0,16.1
349,S,3,0,3,1,1,15.9
350,D,3,0,42,0,0,8.6625
351,D,3,0,23,0,0,9.225
352,D,1,0,24.0442583732,0,0,35
353,D,3,0,15,1,1,7.2292
354,D,3,0,25,1,0,17.8
355,D,3,0,24.0442583732,0,0,7.225
356,D,3,0,28,0,0,9.5
357,S,1,1,22,0,1,55
358,D,2,1,38,0,0,13
359,S,3,1,24.0442583732,0,0,7.8792
360,S,3,1,24.0442583732,0,0,7.8792
361,D,3,0,40,1,4,27.9
362,D,2,0,29,1,0,27.7208
363,D,3,1,45,0,1,14.4542
364,D,3,0,35,0,0,7.05
365,D,3,0,24.0442583732,1,0,15.5
366,D,3,0,30,0,0,7.25
367,S,1,1,60,1,0,75.25
368,S,3,1,24.0442583732,0,0,7.2292
369,S,3,1,24.0442583732,0,0,7.75
370,S,1,1,24,0,0,69.3
371,S,1,0,25,1,0,55.4417
372,D,3,0,18,1,0,6.4958
373,D,3,0,19,0,0,8.05
374,D,1,0,22,0,0,135.6333
375,D,3,1,3,3,1,21.075
376,S,1,1,24.0442583732,1,0,82.1708
377,S,3,1,22,0,0,7.25
378,D,1,0,27,0,2,211.5
379,D,3,0,20,0,0,4.0125
380,D,3,0,19,0,0,7.775
381,S,1,1,42,0,0,227.525
382,S,3,1,1,0,2,15.7417
383,D,3,0,32,0,0,7.925
384,S,1,1,35,1,0,52
385,D,3,0,24.0442583732,0,0,7.8958
386,D,2,0,18,0,0,73.5
387,D,3,0,1,5,2,46.9
388,S,2,1,36,0,0,13
389,D,3,0,24.0442583732,0,0,7.7292
390,S,2,1,17,0,0,12
391,S,1,0,36,1,2,120
392,S,3,0,21,0,0,7.7958
393,D,3,0,28,2,0,7.925
394,S,1,1,23,1,0,113.275
395,S,3,1,24,0,2,16.7
396,D,3,0,22,0,0,7.7958
397,D,3,1,31,0,0,7.8542
398,D,2,0,46,0,0,26
399,D,2,0,23,0,0,10.5
400,S,2,1,28,0,0,12.65
401,S,3,0,39,0,0,7.925
402,D,3,0,26,0,0,8.05
403,D,3,1,21,1,0,9.825
404,D,3,0,28,1,0,15.85
405,D,3,1,20,0,0,8.6625
406,D,2,0,34,1,0,21
407,D,3,0,51,0,0,7.75
408,S,2,0,3,1,1,18.75
409,D,3,0,21,0,0,7.775
410,D,3,1,24.0442583732,3,1,25.4667
411,D,3,0,24.0442583732,0,0,7.8958
412,D,3,0,24.0442583732,0,0,6.8583
413,S,1,1,33,1,0,90
414,D,2,0,24.0442583732,0,0,0
415,S,3,0,44,0,0,7.925
416,D,3,1,24.0442583732,0,0,8.05
417,S,2,1,34,1,1,32.5
418,S,2,1,18,0,2,13
419,D,2,0,30,0,0,13
420,D,3,1,10,0,2,24.15
421,D,3,0,24.0442583732,0,0,7.8958
422,D,3,0,21,0,0,7.7333
423,D,3,0,29,0,0,7.875
424,D,3,1,28,1,1,14.4
425,D,3,0,18,1,1,20.2125
426,D,3,0,24.0442583732,0,0,7.25
427,S,2,1,28,1,0,26
428,S,2,1,19,0,0,26
429,D,3,0,24.0442583732,0,0,7.75
430,S,3,0,32,0,0,8.05
431,S,1,0,28,0,0,26.55
432,S,3,1,24.0442583732,1,0,16.1
433,S,2,1,42,1,0,26
434,D,3,0,17,0,0,7.125
435,D,1,0,50,1,0,55.9
436,S,1,1,14,1,2,120
437,D,3,1,21,2,2,34.375
438,S,2,1,24,2,3,18.75
439,D,1,0,64,1,4,263
440,D,2,0,31,0,0,10.5
441,S,2,1,45,1,1,26.25
442,D,3,0,20,0,0,9.5
443,D,3,0,25,1,0,7.775
444,S,2,1,28,0,0,13
445,S,3,0,24.0442583732,0,0,8.1125
446,S,1,0,4,0,2,81.8583
447,S,2,1,13,0,1,19.5
448,S,1,0,34,0,0,26.55
449,S,3,1,5,2,1,19.2583
450,S,1,0,52,0,0,30.5
451,D,2,0,36,1,2,27.75
452,D,3,0,24.0442583732,1,0,19.9667
453,D,1,0,30,0,0,27.75
454,S,1,0,49,1,0,89.1042
455,D,3,0,24.0442583732,0,0,8.05
456,S,3,0,29,0,0,7.8958
457,D,1,0,65,0,0,26.55
458,S,1,1,24.0442583732,1,0,51.8625
459,S,2,1,50,0,0,10.5
460,D,3,0,24.0442583732,0,0,7.75
461,S,1,0,48,0,0,26.55
462,D,3,0,34,0,0,8.05
463,D,1,0,47,0,0,38.5
464,D,2,0,48,0,0,13
465,D,3,0,24.0442583732,0,0,8.05
466,D,3,0,38,0,0,7.05
467,D,2,0,24.0442583732,0,0,0
468,D,1,0,56,0,0,26.55
469,D,3,0,24.0442583732,0,0,7.725
470,S,3,1,0.75,2,1,19.2583
471,D,3,0,24.0442583732,0,0,7.25
472,D,3,0,38,0,0,8.6625
473,S,2,1,33,1,2,27.75
474,S,2,1,23,0,0,13.7917
475,D,3,1,22,0,0,9.8375
476,D,1,0,24.0442583732,0,0,52
477,D,2,0,34,1,0,21
478,D,3,0,29,1,0,7.0458
479,D,3,0,22,0,0,7.5208
480,S,3,1,2,0,1,12.2875
481,D,3,0,9,5,2,46.9
482,D,2,0,24.0442583732,0,0,0
483,D,3,0,50,0,0,8.05
484,S,3,1,63,0,0,9.5875
485,S,1,0,25,1,0,91.0792
486,D,3,1,24.0442583732,3,1,25.4667
487,S,1,1,35,1,0,90
488,D,1,0,58,0,0,29.7
489,D,3,0,30,0,0,8.05
490,S,3,0,9,1,1,15.9
491,D,3,0,24.0442583732,1,0,19.9667
492,D,3,0,21,0,0,7.25
493,D,1,0,55,0,0,30.5
494,D,1,0,71,0,0,49.5042
495,D,3,0,21,0,0,8.05
496,D,3,0,24.0442583732,0,0,14.4583
497,S,1,1,54,1,0,78.2667
498,D,3,0,24.0442583732,0,0,15.1
499,D,1,1,25,1,2,151.55
500,D,3,0,24,0,0,7.7958
501,D,3,0,17,0,0,8.6625
502,D,3,1,21,0,0,7.75
503,D,3,1,24.0442583732,0,0,7.6292
504,D,3,1,37,0,0,9.5875
505,S,1,1,16,0,0,86.5
506,D,1,0,18,1,0,108.9
507,S,2,1,33,0,2,26
508,S,1,0,24.0442583732,0,0,26.55
509,D,3,0,28,0,0,22.525
510,S,3,0,26,0,0,56.4958
511,S,3,0,29,0,0,7.75
512,D,3,0,24.0442583732,0,0,8.05
513,S,1,0,36,0,0,26.2875
514,S,1,1,54,1,0,59.4
515,D,3,0,24,0,0,7.4958
516,D,1,0,47,0,0,34.0208
517,S,2,1,34,0,0,10.5
518,D,3,0,24.0442583732,0,0,24.15
519,S,2,1,36,1,0,26
520,D,3,0,32,0,0,7.8958
521,S,1,1,30,0,0,93.5
522,D,3,0,22,0,0,7.8958
523,D,3,0,24.0442583732,0,0,7.225
524,S,1,1,44,0,1,57.9792
525,D,3,0,24.0442583732,0,0,7.2292
526,D,3,0,40.5,0,0,7.75
527,S,2,1,50,0,0,10.5
528,D,1,0,24.0442583732,0,0,221.7792
529,D,3,0,39,0,0,7.925
530,D,2,0,23,2,1,11.5
531,S,2,1,2,1,1,26
532,D,3,0,24.0442583732,0,0,7.2292
533,D,3,0,17,1,1,7.2292
534,S,3,1,24.0442583732,0,2,22.3583
535,D,3,1,30,0,0,8.6625
536,S,2,1,7,0,2,26.25
537,D,1,0,45,0,0,26.55
538,S,1,1,30,0,0,106.425
539,D,3,0,24.0442583732,0,0,14.5
540,S,1,1,22,0,2,49.5
541,S,1,1,36,0,2,71
542,D,3,1,9,4,2,31.275
543,D,3,1,11,4,2,31.275
544,S,2,0,32,1,0,26
545,D,1,0,50,1,0,106.425
546,D,1,0,64,0,0,26
547,S,2,1,19,1,0,26
548,S,2,0,24.0442583732,0,0,13.8625
549,D,3,0,33,1,1,20.525
550,S,2,0,8,1,1,36.75
551,S,1,0,17,0,2,110.8833
552,D,2,0,27,0,0,26
553,D,3,0,24.0442583732,0,0,7.8292
554,S,3,0,22,0,0,7.225
555,S,3,1,22,0,0,7.775
556,D,1,0,62,0,0,26.55
557,S,1,1,48,1,0,39.6
558,D,1,0,24.0442583732,0,0,227.525
559,S,1,1,39,1,1,79.65
560,S,3,1,36,1,0,17.4
561,D,3,0,24.0442583732,0,0,7.75
562,D,3,0,40,0,0,7.8958
563,D,2,0,28,0,0,13.5
564,D,3,0,24.0442583732,0,0,8.05
565,D,3,1,24.0442583732,0,0,8.05
566,D,3,0,24,2,0,24.15
567,D,3,0,19,0,0,7.8958
568,D,3,1,29,0,4,21.075
569,D,3,0,24.0442583732,0,0,7.2292
570,S,3,0,32,0,0,7.8542
571,S,2,0,62,0,0,10.5
572,S,1,1,53,2,0,51.4792
573,S,1,0,36,0,0,26.3875
574,S,3,1,24.0442583732,0,0,7.75
575,D,3,0,16,0,0,8.05
576,D,3,0,19,0,0,14.5
577,S,2,1,34,0,0,13
578,S,1,1,39,1,0,55.9
579,D,3,1,24.0442583732,1,0,14.4583
580,S,3,0,32,0,0,7.925
581,S,2,1,25,1,1,30
582,S,1,1,39,1,1,110.8833
583,D,2,0,54,0,0,26
584,D,1,0,36,0,0,40.125
585,D,3,0,24.0442583732,0,0,8.7125
586,S,1,1,18,0,2,79.65
587,D,2,0,47,0,0,15
588,S,1,0,60,1,1,79.2
589,D,3,0,22,0,0,8.05
590,D,3,0,24.0442583732,0,0,8.05
591,D,3,0,35,0,0,7.125
592,S,1,1,52,1,0,78.2667
593,D,3,0,47,0,0,7.25
594,D,3,1,24.0442583732,0,2,7.75
595,D,2,0,37,1,0,26
596,D,3,0,36,1,1,24.15
597,S,2,1,24.0442583732,0,0,33
598,D,3,0,49,0,0,0
599,D,3,0,24.0442583732,0,0,7.225
600,S,1,0,49,1,0,56.9292
601,S,2,1,24,2,1,27
602,D,3,0,24.0442583732,0,0,7.8958
603,D,1,0,24.0442583732,0,0,42.4
604,D,3,0,44,0,0,8.05
605,S,1,0,35,0,0,26.55
606,D,3,0,36,1,0,15.55
607,D,3,0,30,0,0,7.8958
608,S,1,0,27,0,0,30.5
609,S,2,1,22,1,2,41.5792
610,S,1,1,40,0,0,153.4625
611,D,3,1,39,1,5,31.275
612,D,3,0,24.0442583732,0,0,7.05
613,S,3,1,24.0442583732,1,0,15.5
614,D,3,0,24.0442583732,0,0,7.75
615,D,3,0,35,0,0,8.05
616,S,2,1,24,1,2,65
617,D,3,0,34,1,1,14.4
618,D,3,1,26,1,0,16.1
619,S,2,1,4,2,1,39
620,D,2,0,26,0,0,10.5
621,D,3,0,27,1,0,14.4542
622,S,1,0,42,1,0,52.5542
623,S,3,0,20,1,1,15.7417
624,D,3,0,21,0,0,7.8542
625,D,3,0,21,0,0,16.1
626,D,1,0,61,0,0,32.3208
627,D,2,0,57,0,0,12.35
628,S,1,1,21,0,0,77.9583
629,D,3,0,26,0,0,7.8958
630,D,3,0,24.0442583732,0,0,7.7333
631,S,1,0,80,0,0,30
632,D,3,0,51,0,0,7.0542
633,S,1,0,32,0,0,30.5
634,D,1,0,24.0442583732,0,0,0
635,D,3,1,9,3,2,27.9
636,S,2,1,28,0,0,13
637,D,3,0,32,0,0,7.925
638,D,2,0,31,1,1,26.25
639,D,3,1,41,0,5,39.6875
640,D,3,0,24.0442583732,1,0,16.1
641,D,3,0,20,0,0,7.8542
642,S,1,1,24,0,0,69.3
643,D,3,1,2,3,2,27.9
644,S,3,0,24.0442583732,0,0,56.4958
645,S,3,1,0.75,2,1,19.2583
646,S,1,0,48,1,0,76.7292
647,D,3,0,19,0,0,7.8958
648,S,1,0,56,0,0,35.5
649,D,3,0,24.0442583732,0,0,7.55
650,S,3,1,23,0,0,7.55
651,D,3,0,24.0442583732,0,0,7.8958
652,S,2,1,18,0,1,23
653,D,3,0,21,0,0,8.4333
654,S,3,1,24.0442583732,0,0,7.8292
655,D,3,1,18,0,0,6.75
656,D,2,0,24,2,0,73.5
657,D,3,0,24.0442583732,0,0,7.8958
658,D,3,1,32,1,1,15.5
659,D,2,0,23,0,0,13
660,D,1,0,58,0,2,113.275
661,S,1,0,50,2,0,133.65
662,D,3,0,40,0,0,7.225
663,D,1,0,47,0,0,25.5875
664,D,3,0,36,0,0,7.4958
665,S,3,0,20,1,0,7.925
666,D,2,0,32,2,0,73.5
667,D,2,0,25,0,0,13
668,D,3,0,24.0442583732,0,0,7.775
669,D,3,0,43,0,0,8.05
670,S,1,1,24.0442583732,1,0,52
671,S,2,1,40,1,1,39
672,D,1,0,31,1,0,52
673,D,2,0,70,0,0,10.5
674,S,2,0,31,0,0,13
675,D,2,0,24.0442583732,0,0,0
676,D,3,0,18,0,0,7.775
677,D,3,0,24.5,0,0,8.05
678,S,3,1,18,0,0,9.8417
679,D,3,1,43,1,6,46.9
680,S,1,0,36,0,1,512.3292
681,D,3,1,24.0442583732,0,0,8.1375
682,S,1,0,27,0,0,76.7292
683,D,3,0,20,0,0,9.225
684,D,3,0,14,5,2,46.9
685,D,2,0,60,1,1,39
686,D,2,0,25,1,2,41.5792
687,D,3,0,14,4,1,39.6875
688,D,3,0,19,0,0,10.1708
689,D,3,0,18,0,0,7.7958
690,S,1,1,15,0,1,211.3375
691,S,1,0,31,1,0,57
692,S,3,1,4,0,1,13.4167
693,S,3,0,24.0442583732,0,0,56.4958
694,D,3,0,25,0,0,7.225
695,D,1,0,60,0,0,26.55
696,D,2,0,52,0,0,13.5
697,D,3,0,44,0,0,8.05
698,S,3,1,24.0442583732,0,0,7.7333
699,D,1,0,49,1,1,110.8833
700,D,3,0,42,0,0,7.65
701,S,1,1,18,1,0,227.525
702,S,1,0,35,0,0,26.2875
703,D,3,1,18,0,1,14.4542
704,D,3,0,25,0,0,7.7417
705,D,3,0,26,1,0,7.8542
706,D,2,0,39,0,0,26
707,S,2,1,45,0,0,13.5
708,S,1,0,42,0,0,26.2875
709,S,1,1,22,0,0,151.55
710,S,3,0,24.0442583732,1,1,15.2458
711,S,1,1,24,0,0,49.5042
712,D,1,0,24.0442583732,0,0,26.55
713,S,1,0,48,1,0,52
714,D,3,0,29,0,0,9.4833
715,D,2,0,52,0,0,13
716,D,3,0,19,0,0,7.65
717,S,1,1,38,0,0,227.525
718,S,2,1,27,0,0,10.5
719,D,3,0,24.0442583732,0,0,15.5
720,D,3,0,33,0,0,7.775
721,S,2,1,6,0,1,33
722,D,3,0,17,1,0,7.0542
723,D,2,0,34,0,0,13
724,D,2,0,50,0,0,13
725,S,1,0,27,1,0,53.1
726,D,3,0,20,0,0,8.6625
727,S,2,1,30,3,0,21
728,S,3,1,24.0442583732,0,0,7.7375
729,D,2,0,25,1,0,26
730,D,3,1,25,1,0,7.925
731,S,1,1,29,0,0,211.3375
